Date,Price,Recommendation,Confidence,MarketContext,TradeGrade,Entry,StopLoss,Target1,Target2,Result,ExitPrice,PnL,RiskReward,HoldingDays
2016-06-30,8287.75,BUY ON DIP,100.0,UNKNOWN,A,8055.8,8015.52,9038.9,9074.54,PENDING,,0.0,0.0,5
2016-07-01,8328.35,BUY ON DIP,100.0,UNKNOWN,A,8055.8,8015.52,9038.9,9126.35,PENDING,,0.0,0.0,5
2016-07-04,8370.7,BUY ON DIP,100.0,UNKNOWN,A,8055.8,8015.52,9038.9,9147.72,PENDING,,0.0,0.0,5
2016-07-05,8335.95,BUY ON DIP,100.0,UNKNOWN,A,8055.8,8015.52,9038.9,9166.44,PENDING,,0.0,0.0,5
2016-07-07,8337.9,NO TRADE,100.0,UNKNOWN,D,8337.9,8337.9,8337.9,8337.9,PENDING,,0.0,0.0,0
2016-07-08,8323.2,SELL ON RISE,100.0,UNKNOWN,A,9020.82,9084.09,8055.8,7896.83,NO EXIT,8541.4,479.42,7.58,5
2016-07-11,8467.9,NO TRADE,100.0,UNKNOWN,D,8467.9,8467.9,8467.9,8467.9,PENDING,,0.0,0.0,0
2016-07-12,8521.05,BUY ON DIP,100.0,UNKNOWN,A,8055.8,8015.52,9038.9,9166.72,PENDING,,0.0,0.0,5
2016-07-13,8519.5,NO TRADE,100.0,UNKNOWN,D,8519.5,8519.5,8519.5,8519.5,PENDING,,0.0,0.0,0
2016-07-14,8565.0,BUY ON DIP,90.0,UNKNOWN,A,8055.8,8015.52,9038.9,9140.82,PENDING,,0.0,0.0,5
2016-07-15,8541.4,NO TRADE,81.82,UNKNOWN,D,8541.4,8541.4,8541.4,8541.4,PENDING,,0.0,0.0,0
2016-07-18,8508.7,NO TRADE,83.33,UNKNOWN,D,8508.7,8508.7,8508.7,8508.7,PENDING,,0.0,0.0,0
2016-07-19,8528.55,NO TRADE,84.62,UNKNOWN,D,8528.55,8528.55,8528.55,8528.55,PENDING,,0.0,0.0,0
2016-07-20,8565.85,BUY ON DIP,85.71,UNKNOWN,A,8055.8,8015.52,9038.9,9128.84,PENDING,,0.0,0.0,5
2016-07-21,8510.1,NO TRADE,86.67,UNKNOWN,D,8510.1,8510.1,8510.1,8510.1,PENDING,,0.0,0.0,0
2016-07-22,8541.2,BUY ON DIP,87.5,UNKNOWN,A,8055.8,8015.52,9038.9,9133.71,PENDING,,0.0,0.0,5
2016-07-25,8635.65,BUY ON DIP,88.24,UNKNOWN,A,8555.15,8512.37,9038.9,9128.71,PENDING,,0.0,0.0,5
2016-07-26,8590.65,BUY ON DIP,88.89,UNKNOWN,A,8055.8,8015.52,9038.9,9124.81,PENDING,,0.0,0.0,5
2016-07-27,8615.8,BUY ON DIP,84.21,UNKNOWN,A,8555.15,8512.37,9038.9,9117.3,PENDING,,0.0,0.0,5
2016-07-28,8666.3,BUY ON DIP,80.0,UNKNOWN,A,8555.15,8512.37,9038.9,9108.23,PENDING,,0.0,0.0,5
2016-07-29,8638.5,BUY ON DIP,80.95,UNKNOWN,A,8555.15,8512.37,9038.9,9106.28,PENDING,,0.0,0.0,5
2016-08-01,8636.55,NO TRADE,81.82,UNKNOWN,D,8636.55,8636.55,8636.55,8636.55,PENDING,,0.0,0.0,0
2016-08-02,8622.9,NO TRADE,82.61,UNKNOWN,D,8622.9,8622.9,8622.9,8622.9,PENDING,,0.0,0.0,0
2016-08-03,8544.85,NO TRADE,83.33,UNKNOWN,D,8544.85,8544.85,8544.85,8544.85,PENDING,,0.0,0.0,0
2016-08-04,8551.1,NO TRADE,84.0,UNKNOWN,D,8551.1,8551.1,8551.1,8551.1,PENDING,,0.0,0.0,0
2016-08-05,8683.15,NO TRADE,80.77,UNKNOWN,D,8683.15,8683.15,8683.15,8683.15,PENDING,,0.0,0.0,0
2016-08-08,8711.35,NO TRADE,77.78,UNKNOWN,D,8711.35,8711.35,8711.35,8711.35,PENDING,,0.0,0.0,0
2016-08-09,8678.25,NO TRADE,75.0,UNKNOWN,D,8678.25,8678.25,8678.25,8678.25,PENDING,,0.0,0.0,0
2016-08-10,8575.3,SELL ON RISE,75.86,UNKNOWN,A,9020.82,9084.09,8055.8,8001.78,NO EXIT,8666.9,353.92,5.59,5
2016-08-11,8592.15,NO TRADE,76.67,UNKNOWN,D,8592.15,8592.15,8592.15,8592.15,PENDING,,0.0,0.0,0
2016-08-16,8642.55,NO TRADE,74.19,UNKNOWN,D,8642.55,8642.55,8642.55,8642.55,PENDING,,0.0,0.0,0
2016-08-17,8624.05,SELL ON RISE,75.0,UNKNOWN,A,9020.82,9084.09,8555.15,8504.27,NO EXIT,8650.3,370.52,5.86,5
2016-08-18,8673.25,NO TRADE,72.73,UNKNOWN,D,8673.25,8673.25,8673.25,8673.25,PENDING,,0.0,0.0,0
